духи;parfum
экстракт;parfum
парфюмерная эссенция;parfum
парфюмерная вода;eau de parfum
парфюм-вода;eau de parfum
туалетная вода;eau de toilette
одеколон;eau de cologne
э о фрэш;eau fraiche
э о фреш;eau fraiche
